pc1,pc2,ood_source
-1.3586098,-2.062825,mnist
0.09184688,-0.25536647,mnist
0.37286586,0.52958614,mnist
0.82852346,0.58932096,mnist
-0.3758493,0.08438712,mnist
-0.0885942,-1.0284185,mnist
-0.25838345,-1.0868382,mnist
-0.22787464,-1.464507,mnist
0.5309712,-0.27114022,mnist
-1.6770606,-2.8450296,mnist
1.5071428,-0.91393054,mnist
-1.0344933,-2.1569898,mnist
-0.66206324,-2.0157897,mnist
0.5984941,-0.71195865,mnist
0.0076379776,-1.7430689,mnist
-0.16237193,-0.0021996908,mnist
0.500601,-1.4213843,mnist
0.24881595,-1.3367498,mnist
0.3374818,-0.53793037,mnist
-0.3080545,0.0404691,mnist
-0.16121393,-1.6013451,mnist
-0.32430708,0.01063351,mnist
0.5153677,-0.93156725,mnist
-0.25744265,-1.4549124,mnist
-0.308312,-1.2113845,mnist
-0.33531374,0.8974323,mnist
-0.15569347,-0.56849813,mnist
-0.47310352,-2.3491235,mnist
0.45653087,-1.5118637,mnist
-0.7688644,-1.6164037,mnist
0.10890514,0.26103276,mnist
-0.28542262,0.40726987,mnist
-0.62091166,-1.9192879,mnist
-0.006159961,0.45317772,mnist
-0.7162518,-2.5179317,mnist
0.27312225,-1.0804186,mnist
-0.24112475,-1.7764467,mnist
-0.6112119,-1.5674106,mnist
-0.9426583,-1.7631449,mnist
-0.21354204,-0.93944085,mnist
-1.2544415,0.75583196,mnist
-0.29986256,0.53499806,mnist
-0.2989816,-1.2285941,mnist
-1.7469893,-1.0472982,mnist
-0.87352794,-2.3384922,mnist
-0.9976569,-2.3808863,mnist
-0.42574787,-0.8926108,mnist
0.08916527,-0.14987692,mnist
-0.8788296,-1.5291429,mnist
-0.6974764,0.50861263,mnist
-0.39895862,-1.8721443,mnist
-0.7332928,-2.2011497,mnist
-1.1291226,-1.6929085,mnist
-1.2236378,-0.25468913,mnist
-0.8773272,-0.9035435,mnist
0.14276952,-1.4889679,mnist
0.21842855,-1.9923828,mnist
0.11190337,-0.9663966,mnist
-0.4379176,-0.21911803,mnist
0.546182,-1.8710465,mnist
-0.091397285,-1.1499064,mnist
-0.4169277,0.0643353,mnist
-0.4990505,-2.1173923,mnist
-1.1787415,-1.0997175,mnist
-1.4744446,-0.6194863,mnist
1.4084969,-0.6853875,mnist
-0.4459446,-0.10277839,mnist
-1.2813935,-1.4791763,mnist
0.11941534,-1.2807716,mnist
1.4587176,-1.0129304,mnist
-0.105293095,-0.19623041,mnist
-0.67340374,-2.1853998,mnist
-0.9253196,-2.207497,mnist
-0.46041843,-2.0400019,mnist
0.115602314,-0.8121612,mnist
0.19975299,-1.4462695,mnist
-0.30950737,-2.212673,mnist
-0.040573776,0.6518316,mnist
0.36505598,-0.56091726,mnist
-0.5214779,-2.3310273,mnist
-0.55890584,-1.8405287,mnist
-0.9519774,-2.7074091,mnist
0.29415935,0.6287761,mnist
-0.74139154,-2.5110407,mnist
-0.7476155,-1.8422242,mnist
0.22424668,-0.11012538,mnist
0.9226596,-0.398681,mnist
-0.6874852,-1.8231509,mnist
1.6190856,-0.44900346,mnist
0.034003437,0.2981561,mnist
-0.13274473,-0.7943834,mnist
-0.05298114,-1.624891,mnist
-1.3253828,-1.4412744,mnist
-0.5568502,-0.012663368,mnist
-0.6309711,-1.7050664,mnist
0.2876281,-1.3119794,mnist
0.17604393,-0.111229986,mnist
-1.3786931,0.4909035,mnist
-0.25569528,-0.77682686,mnist
-1.0737185,-2.2325165,mnist
-1.4406049,-2.8810873,mnist
-0.15274376,0.8818721,mnist
-0.6129528,-2.206168,mnist
0.15761524,-1.4792017,mnist
-0.59700596,-2.0089085,mnist
-0.4660669,-1.9649804,mnist
-1.1482028,-0.250422,mnist
0.63896126,-0.5989695,mnist
-1.1492696,-2.7485812,mnist
0.45366818,-1.4013538,mnist
-0.726487,-1.6408436,mnist
0.60864383,-0.2228072,mnist
-0.5212294,-1.0844026,mnist
-0.41963732,-1.9883957,mnist
-0.059927583,-1.4648485,mnist
0.07661122,-1.7495463,mnist
-0.5188521,-1.3718958,mnist
-0.48928112,-2.3293507,mnist
0.23227853,-0.6431931,mnist
-0.007052541,-0.974427,mnist
-1.3056705,-0.64975893,mnist
-0.6751835,-0.2932965,mnist
-0.64510715,-1.8708639,mnist
-1.0240563,-1.548435,mnist
-0.63235974,-1.6956244,mnist
-0.19563705,-2.1116178,mnist
-1.2436457,-2.3625205,mnist
1.2077174,0.19810379,mnist
-0.9761127,-1.4662402,mnist
-0.5106929,-1.6503847,mnist
-0.08092922,-0.1729885,mnist
-0.3103239,0.19648726,mnist
0.23596853,-1.2120548,mnist
-0.96721864,-0.10716659,mnist
-0.17888647,-1.4066689,mnist
-0.067964196,-0.957378,mnist
-0.48290592,-1.3470125,mnist
0.04214388,-0.7063716,mnist
-0.39829582,-1.5528201,mnist
0.29180902,-0.3886018,mnist
-0.98285705,-1.2286265,mnist
-0.588266,-2.9022882,mnist
-0.91510135,-1.6193622,mnist
-1.7083437,-3.274834,mnist
-0.3213439,-0.9504633,mnist
0.19235343,-0.4418802,mnist
0.053911984,-0.4492911,mnist
0.46171135,-1.1151946,mnist
0.19269627,-0.98343587,mnist
-0.82993126,-2.276521,mnist
0.71945125,-1.0883391,mnist
-0.3159516,-3.023988,mnist
-1.4486196,-1.3160293,mnist
-1.3356092,-0.22288752,mnist
-1.925715,-1.4306723,mnist
-0.1745699,-2.1717007,mnist
-0.4990597,-1.9662392,mnist
-0.089458466,-1.5436307,mnist
-0.9590536,-0.98938453,mnist
-0.32244885,-1.6033462,mnist
1.1041813,-1.0344129,mnist
1.1026402,-0.29779306,mnist
1.1070354,-1.1243492,mnist
0.5740172,0.17988771,mnist
-0.3588416,-0.78157794,mnist
-0.74906015,-1.7416601,mnist
0.08204061,-1.4398382,mnist
-1.0260681,-2.2091994,mnist
-0.73603654,-1.1661729,mnist
0.4396847,-0.96850765,mnist
0.3898,-1.8256904,mnist
-0.9973893,0.99507535,mnist
-0.0047403574,-1.2054448,mnist
-1.001225,-2.8413665,mnist
-0.35885864,-1.4095085,mnist
-1.2973561,-0.95978975,mnist
-0.23241705,-0.9744061,mnist
0.38118762,-1.454376,mnist
0.76630193,-0.9656713,mnist
-0.59159374,-1.295496,mnist
0.078199446,-1.6841214,mnist
-0.29308277,-2.353523,mnist
0.26525277,-1.1250305,mnist
-0.23814195,-1.6605474,mnist
-0.006366253,-1.0639727,mnist
-0.71621406,-1.3170371,mnist
-0.19555473,-0.93469036,mnist
-1.9998612,-1.9981918,mnist
-1.0979652,-2.2979693,mnist
0.023065507,-1.0056013,mnist
0.9333722,-0.652213,mnist
-1.2448516,-2.1760633,mnist
-0.29721445,-1.2024698,mnist
-0.30924124,-1.6167953,mnist
-0.5539371,-2.4726608,mnist
0.2853214,1.2076797,mnist
-1.1359117,-1.7376423,mnist
-1.4852455,-0.54833734,mnist
-1.346786,-2.2738063,mnist
0.3748173,-0.01829284,mnist
0.21082073,-0.6975354,mnist
-0.73978645,-1.8568238,mnist
0.11736792,-0.9342774,mnist
0.8040647,0.40941375,mnist
-0.8709816,-2.2247593,mnist
-0.43965936,-1.5283451,mnist
0.27316803,-1.8741896,mnist
0.38957804,-1.593761,mnist
-0.080093324,-1.973593,mnist
0.05244094,-1.8732547,mnist
0.2010464,1.3030157,mnist
-0.0982123,-1.6765714,mnist
1.1061685,-0.20036286,mnist
0.4032449,-0.07456149,mnist
-0.014796257,-0.19203445,mnist
0.7106933,0.09473479,mnist
-1.624068,-0.35616103,mnist
-0.9524112,-1.8507867,mnist
-1.0725275,-0.5367955,mnist
0.01261878,0.24338627,mnist
0.106431425,0.8853481,mnist
0.73750085,-0.17639883,mnist
0.6047084,-1.4092443,mnist
-0.1267358,-1.6443539,mnist
0.5380098,-1.8493627,mnist
-0.01159966,-1.8576179,mnist
-0.33783907,-1.5758744,mnist
0.051011562,-1.2436714,mnist
0.34023923,0.1838177,mnist
-1.1361663,-2.5134456,mnist
-1.698039,-2.826925,mnist
-0.84884095,-2.0044,mnist
-1.5792387,-0.14767876,mnist
-0.121527135,-0.65420437,mnist
0.25753182,-1.073848,mnist
-1.0159755,-0.08210029,mnist
-0.28980464,-1.1850847,mnist
-0.717395,-1.6453428,mnist
-0.3539062,0.2907323,mnist
-0.71322227,-2.3966959,mnist
-0.43068147,-1.7748208,mnist
0.125794,-0.9950359,mnist
-0.234842,-1.829917,mnist
-0.4898684,-2.359666,mnist
0.41186923,-1.1090713,mnist
-0.33964413,-1.5806808,mnist
1.0460963,-0.8494093,mnist
0.40549678,-2.0693066,mnist
-1.5548003,-2.3801985,mnist
0.5321427,-1.0806429,mnist
-0.036912978,-1.1982968,mnist
0.47071332,-1.455348,mnist
-0.17057598,-1.8724535,mnist
0.3368482,-1.6752213,mnist
-0.29186743,-0.5494561,mnist
-0.19562143,-1.4409063,mnist
-0.44673824,-1.4881203,mnist
0.06828493,-1.3444124,mnist
0.1628657,-0.910553,mnist
-0.4619177,-1.480475,mnist
-0.28119612,-1.3303039,mnist
-0.0805856,-1.6068732,mnist
0.47619826,-1.5549743,mnist
0.18772,-0.9161799,mnist
1.4265151,-0.916213,mnist
0.5275249,-1.6483085,mnist
-0.74697125,-1.4191768,mnist
-0.6198553,-1.917732,mnist
-0.0462963,-0.84556556,mnist
-0.85382265,-1.4785131,mnist
0.64787644,-1.1330893,mnist
-1.2581482,-1.8360548,mnist
-0.29334956,-1.9565065,mnist
-1.7430801,-2.2648246,mnist
1.2396741,-1.2253351,mnist
-1.0317589,-2.0684762,mnist
0.5078446,0.4115272,mnist
-0.13255572,-1.3438057,mnist
0.56875294,0.22067317,mnist
-1.5863235,-2.3197987,mnist
-0.44660282,-1.2588167,mnist
-0.16322488,-1.7580833,mnist
-0.4948022,1.8468505,mnist
0.009522498,0.906044,mnist
-0.24364471,-0.8120072,mnist
-0.8371192,-2.1565564,mnist
0.06304771,-1.1514932,mnist
-0.7974024,-2.0811021,mnist
0.9171383,-1.2526544,mnist
0.21525389,0.48661482,mnist
0.12970906,-1.3316647,mnist
-0.7353981,-1.3028933,mnist
0.5008097,-0.32511047,mnist
-0.22635162,-1.8988762,mnist
-1.0436807,-1.099333,mnist
-0.2867517,-1.5112121,mnist
-0.20047528,-0.6797638,mnist
0.027544618,-1.6737094,mnist
0.38200754,-0.26704127,mnist
-0.10259724,-2.4174464,mnist
0.26437253,1.3637552,mnist
-0.5408952,0.07878883,mnist
-1.2336688,-2.305349,mnist
-0.7358233,-2.621641,mnist
-0.2197243,0.6349269,mnist
-0.30572885,-0.5263174,mnist
1.0657094,-0.8678543,mnist
0.36441833,-1.3676493,mnist
-0.35423213,-1.8883724,mnist
-0.43837863,-1.9897492,mnist
0.28260082,-1.3021011,mnist
-0.7117058,-2.3140266,mnist
0.58798593,-0.6441406,mnist
-0.28927684,-1.7742462,mnist
0.053408325,0.53743166,mnist
0.730187,-0.07874158,mnist
1.2147343,-0.08799723,mnist
0.094272316,-1.9044919,mnist
-0.44227973,-1.9307224,mnist
0.06973022,-0.30335045,mnist
-0.07347232,-1.4222333,mnist
-0.20659578,-2.1182544,mnist
-1.4809058,-1.9120116,mnist
0.9051694,-0.7347692,mnist
-0.05907643,-0.11986339,mnist
-1.5999237,-0.35750604,mnist
-1.1153805,-1.747447,mnist
-0.8287745,-1.8642775,mnist
0.12091464,-0.55789876,mnist
-1.8508389,-0.94436514,mnist
-0.14971787,-2.3581476,mnist
-0.2321043,-1.0913194,mnist
-1.9135134,0.870247,mnist
0.19689149,-1.7960587,mnist
-0.7823163,-1.831533,mnist
-1.1016171,-1.5811768,mnist
-0.96377856,-1.9285359,mnist
0.19624263,-1.388547,mnist
-1.8695133,-1.0974731,mnist
0.47140187,-0.8137027,mnist
-0.09731704,-1.4848603,mnist
-0.28425676,-0.18047228,mnist
0.08620757,-1.6093755,mnist
0.7597181,-1.8696783,mnist
0.79096717,0.1727444,mnist
0.5817968,0.39745915,mnist
-0.26397324,-0.5251407,mnist
-0.22080427,-0.40643534,mnist
-1.0722742,-2.2237608,mnist
-0.53258395,-1.2318926,mnist
-1.2482822,-0.9414145,mnist
-0.8808685,-1.4104779,mnist
-0.2455864,-1.775403,mnist
-0.097148836,-0.5531857,mnist
-0.60237014,-1.4503529,mnist
0.18420333,-0.5855757,mnist
-0.17638713,-1.7670746,mnist
-0.18179137,-0.030294802,mnist
-2.133912,-0.75240386,mnist
0.105300725,0.2591594,mnist
-0.32070595,-1.3370026,mnist
0.27483267,-0.9053264,mnist
-0.27389258,-1.4860221,mnist
-0.10144222,-1.6045718,mnist
-0.5021305,1.2428403,mnist
-0.45924085,-1.9563391,mnist
0.25026065,-1.577723,mnist
-0.31781203,-2.0914495,mnist
-0.37944663,-1.8213544,mnist
-1.6882433,-1.1990576,mnist
-0.28668875,-1.9152427,mnist
-0.23724753,-1.8889853,mnist
0.24342221,-1.8103262,mnist
-0.21562773,-2.2710495,mnist
0.8490662,-0.79282844,mnist
1.046354,1.1938598,mnist
1.4599321,0.90161777,mnist
-0.84746945,-1.1142216,mnist
0.43276328,-0.77310956,mnist
0.1751731,-1.5463064,mnist
-1.1794442,-1.8292735,mnist
0.21845692,-1.6029618,mnist
0.59562725,-1.1517196,mnist
0.27130312,-0.44400546,mnist
0.34699148,-1.355953,mnist
-0.21115297,0.9540502,mnist
-0.07870084,-1.7617347,mnist
0.14116901,0.26225927,mnist
-0.532319,1.0618281,mnist
0.89448065,-1.8949654,mnist
0.5891642,-0.4635673,mnist
-0.5290493,-1.5274804,mnist
2.3326833,-0.165165,mnist
0.13193995,-1.2794304,mnist
-1.9613893,-0.5977238,mnist
-0.28143662,-1.6150632,mnist
-0.809492,0.39287445,mnist
0.6688219,-0.8822897,mnist
0.19011909,-0.76702124,mnist
0.23498672,0.92998636,mnist
-0.86091644,-0.7331673,mnist
-0.06381494,1.2733052,mnist
-0.49010718,0.5809627,mnist
0.8062703,1.1812723,mnist
-0.41232157,-2.4994943,mnist
-0.96591157,-1.4124541,mnist
-0.6826268,-1.4050449,mnist
-0.41709477,-2.1628156,mnist
-0.47425172,-0.56588626,mnist
-0.11345029,-1.9271152,mnist
0.64255685,-1.2230208,mnist
0.02500683,-0.88100827,mnist
-0.17701232,-1.2712588,mnist
-0.886326,-0.33600262,mnist
0.30825132,-0.14224596,mnist
-1.0048759,-2.0667498,mnist
-0.5998068,-1.8736196,mnist
0.005572021,-1.1317909,mnist
-0.33177406,0.24693923,mnist
-0.20332831,-1.5763758,mnist
-1.0422692,-2.2607749,mnist
-1.5975714,-2.3720286,mnist
-0.031197488,-1.8212459,mnist
0.82479626,-0.94813085,mnist
0.063203275,0.06628455,mnist
0.7388815,0.43181044,mnist
-0.94300365,-3.1482642,mnist
-0.55377424,-1.8688889,mnist
0.36734122,-0.65174735,mnist
-0.15197992,-1.1392245,mnist
0.31953138,-0.16734415,mnist
-0.10192317,-1.9612358,mnist
-0.3949914,0.58497334,mnist
-1.3021771,-0.50702316,mnist
-0.027397752,-1.519825,mnist
-0.10933834,-1.8462701,mnist
-0.34735245,-1.2548381,mnist
0.70422965,-0.1101671,mnist
0.0067245364,-2.4166226,mnist
-1.048742,-2.094754,mnist
-0.5181681,-0.9775609,mnist
-0.57960993,0.33379433,mnist
-1.1849347,0.6051104,mnist
0.28048402,-0.99558187,mnist
-0.077706516,-0.40917882,mnist
1.9225874,-0.13550444,mnist
1.8083532,-0.20972337,mnist
-0.60774124,-2.787087,mnist
-0.010118365,-1.7610254,mnist
0.44535726,-1.5000334,mnist
0.5292508,-0.6992775,mnist
-1.0580009,-1.4501582,mnist
-0.050204217,-1.7643032,mnist
-1.1265274,-0.8540016,mnist
-1.6803694,-1.2028021,mnist
-0.7854673,0.44103897,mnist
0.108658016,-1.7784246,mnist
-1.0297306,0.42515445,mnist
0.19676799,-0.58556354,mnist
0.04059106,-1.7518458,mnist
-0.081445515,-1.843874,mnist
0.84226996,-0.59159577,mnist
0.5417735,0.0127429925,mnist
0.7936663,-1.6803987,mnist
-0.106071234,-1.7576263,mnist
0.7689349,-1.1142424,mnist
1.0381134,-0.10028854,mnist
-0.11065513,0.41650906,mnist
0.54149574,-1.5741758,mnist
0.40216678,-1.2661253,mnist
-1.1596147,-2.1956186,mnist
-1.0363418,-0.95867455,mnist
-0.9185865,-1.4521166,mnist
-1.264452,-1.6614044,mnist
0.24027842,-0.7728293,mnist
-0.45820576,-2.179674,mnist
-0.90605307,-0.9784436,mnist
0.04292065,-1.5797629,mnist
-0.37217504,0.18082505,mnist
-1.1822567,-1.215311,mnist
-0.06561047,0.51768243,mnist
-1.2002383,-1.1731856,mnist
-0.5010053,-0.7464653,mnist
-0.2756762,-1.9638841,mnist
1.9382849,0.570271,mnist
-1.0414261,0.10935429,mnist
0.20921654,-1.0093784,mnist
0.47042292,-1.634905,mnist
-0.56045496,0.5470537,mnist
1.4169493,0.0059926175,mnist
0.22882313,-0.33085665,mnist
-0.5216805,-2.3056617,mnist
-0.20703298,-1.5013906,mnist
-0.8313453,-1.8152682,mnist
0.5552942,-1.4487498,mnist
-0.024911225,-2.0272605,mnist
-0.6558727,-1.6327863,mnist
-1.9120684,-1.3206308,mnist
0.2626552,-0.37862295,mnist
-1.7062196,-2.2539704,mnist
-0.5686174,-1.1897109,mnist
-2.0227325,-1.0994017,mnist
-0.8416919,-2.2016654,mnist
0.20722765,-1.4980633,mnist
0.20633978,-0.16772722,mnist
-1.4812644,-2.9229639,mnist
-0.1944403,-1.6341239,mnist
-0.3404073,0.6899265,mnist
0.592637,-0.28499368,mnist
-0.63500917,-0.02102106,mnist
